Step No	Action/Description	Input	Expected Results	Actual Results	Status	Comments
1	Open the browser and enter the test URL	Valid URL	ShopperStack registration/login page should be displayed			
2	Navigate to Registration page	Click on Register/Sign Up	Registration page should be displayed with all required fields			
3	Verify Registration page components	NA	Registration page should display: i) First Name text field ii) Gender Radio Button iii) Phone number Text field iv) Country Drop down v) Password text field vi) Submit/Register Button			
4	Following are the steps to test First Name Text field				
5	Enter valid first name and submit	John	Error message should not be displayed, field should accept input			
6	Enter first name with minimum valid length	Jo	First name should be accepted (assuming 2 char minimum)			
7	Enter first name with single character	A	Error message should be displayed for minimum length requirement			
8	Enter first name with maximum allowed length	JohnJacobJingleheimerSchmidt	First name should be accepted if within limit, or truncated			
9	Enter first name exceeding maximum length	JohnJacobJingleheimerSchmidtWithVeryLongNameThatExceedsLimit	Error message should be displayed for maximum length exceeded			
10	Enter numbers in first name field	John123	Error message should be displayed - only alphabets allowed			
11	Enter special characters in first name field	John@#$	Error message should be displayed - only alphabets allowed			
12	Enter only spaces in first name field	   	Error message should be displayed - blank spaces not allowed			
13	Leave first name field empty and submit		Error message should be displayed - field is mandatory			
14	Enter first name with leading/trailing spaces	 John 	System should trim spaces and accept John			
15	Enter first name with mixed case	jOhN	System should accept mixed case or convert to proper case			
16	Enter first name with numbers at end	John123	Error message should be displayed - only alphabets allowed			
17	Enter first name with special characters at beginning	@John	Error message should be displayed - only alphabets allowed			
18	Enter first name with hyphen	Mary-Jane	System should accept hyphen in name or show appropriate error			
19	Enter first name with apostrophe	O'Connor	System should accept apostrophe in name or show appropriate error			
20	Following are the steps to test Gender Radio Button				
21	Verify gender options are displayed	NA	Male and Female radio buttons should be visible			
22	Select Male gender option	Click Male radio button	Male option should be selected, Female should be unselected			
23	Select Female gender option	Click Female radio button	Female option should be selected, Male should be unselected			
24	Switch between gender options	Click Male then Female	Only one option should be selected at a time			
25	Submit form without selecting gender	No selection	Error message should be displayed - gender selection is mandatory			
26	Verify only one gender can be selected	Attempt to select both	Only the last clicked option should remain selected			
27	Verify gender selection is retained	Select Male, navigate away and back	Previously selected gender should remain selected			
28	Test keyboard navigation for gender selection	Use Tab and Space keys	Should be able to navigate and select using keyboard			
29	Verify gender radio button labels	NA	Labels should be clearly visible and clickable			
30	Test default gender selection	NA	Verify if any gender is pre-selected by default			
31	Following are the steps to test Phone Number Text field				
32	Enter valid 10-digit phone number	9876543210	Phone number should be accepted without error			
33	Enter phone number with country code	+919876543210	Phone number should be accepted with country code			
34	Enter phone number with less than 10 digits	987654321	Error message should be displayed - invalid length			
35	Enter phone number with more than 10 digits	98765432109	Error message should be displayed - exceeds maximum length			
36	Enter alphabets in phone number field	ABCDEFGHIJ	Error message should be displayed - only numbers allowed			
37	Enter special characters in phone number	@#$%^&*()+	Error message should be displayed - only numbers allowed			
38	Enter phone number starting with 0	0987654321	Error message should be displayed - invalid format			
39	Enter blank spaces in phone number field	   	Error message should be displayed - field cannot be empty			
40	Leave phone number field empty		Error message should be displayed - field is mandatory			
41	Enter phone number with spaces/hyphens	987-654-3210	System should either accept formatted number or show format error			
42	Enter duplicate phone number	9876543210 (if already registered)	Error message should be displayed - phone number already exists			
43	Enter phone number starting with 1	1987654321	Error message should be displayed - invalid format for Indian numbers			
44	Enter phone number with only zeros	0000000000	Error message should be displayed - invalid phone number			
45	Enter phone number with repeated digits	1111111111	Error message should be displayed or accepted based on business rules			
46	Enter international phone number format	+1-555-123-4567	System should handle international format or show appropriate error			
47	Test copy-paste functionality in phone field	Copy and paste valid number	Phone number should be accepted			
48	Following are the steps to test Country Dropdown				
49	Verify dropdown displays country list	Click dropdown	List of countries should be displayed			
50	Select a valid country from dropdown	Select India	Selected country should be displayed in dropdown			
51	Verify default country selection	NA	Default country (if any) should be pre-selected			
52	Search for country in dropdown	Type Ind	Countries starting with Ind should be filtered and displayed			
